rank,player,club,nationality,points,year,percent,position
16.0,Vladimir Petrović,Red Star Belgrade,Yugoslavia,5.0,1981,1.2821,
19.0,Zlatko Vujovic,Hajduk Split,Yugoslavia,4.0,1981,1.0256,
19.0,Trevor Brooking,West Ham United,England,4.0,1981,1.0256,
21.0,Giancarlo Antognoni,Fiorentina,Italy,3.0,1981,0.7692,
21.0,Jan Ceulemans,Club Brugge,Belgium,3.0,1981,0.7692,
21.0,Kenny Dalglish,Liverpool,Scotland,3.0,1981,0.7692,
21.0,Bryan Robson,Manchester United,England,3.0,1981,0.7692,
21.0,Frank Stapleton,Manchester United,Ireland,3.0,1981,0.7692,
21.0,Wilfried Van Moer,Beveren,Belgium,3.0,1981,0.7692,
21.0,Luis Arconada,Real Sociedad,Spain,3.0,1981,0.7692,
28.0,Grzegorz Lato,Lokeren,Poland,2.0,1981,0.5128,
28.0,Tibor Nyilasi,Ferencváros,Hungary,2.0,1981,0.5128,
28.0,Wlodzimierz Smolarek,Widzew Łódź,Poland,2.0,1981,0.5128,
28.0,Frans Thijssen,Ipswich Town,Netherlands,2.0,1981,0.5128,
32.0,António Oliveira,Sporting CP,Portugal,1.0,1981,0.2564,
32.0,Uli Stielike,Real Madrid,West Germany,1.0,1981,0.2564,
32.0,Jesús Zamora,Real Sociedad,Spain,1.0,1981,0.2564,
1.0,Paolo Rossi,Juventus,Italy,115.0,1982,29.4872,
2.0,Alain Giresse,Bordeaux,France,64.0,1982,16.4103,
3.0,Zbigniew Boniek,Juventus,Poland,53.0,1982,13.5897,
4.0,Karl-Heinz Rummenigge,Bayern Munich,West Germany,51.0,1982,13.0769,
5.0,Bruno Conti,Roma,Italy,48.0,1982,12.3077,
6.0,Rinat Dasayev,Spartak Moscow,Soviet Union,17.0,1982,4.359,
7.0,Pierre Littbarski,1. FC Köln,West Germany,10.0,1982,2.5641,
8.0,Dino Zoff,Juventus,Italy,9.0,1982,2.3077,
9.0,Michel Platini,Juventus,France,5.0,1982,1.2821,
10.0,Bernd Schuster,Barcelona,West Germany,4.0,1982,1.0256,
11.0,Giancarlo Antognoni,Fiorentina,Italy,3.0,1982,0.7692,
12.0,Bruno Pezzey,Eintracht Frankfurt,Austria,2.0,1982,0.5128,
12.0,Gaetano Scirea,Juventus,Italy,2.0,1982,0.5128,
12.0,Eric Gerets,Standard Liège,Belgium,2.0,1982,0.5128,
15.0,Paul Breitner,Bayern Munich,West Germany,1.0,1982,0.2564,
15.0,Torbjörn Nilsson,IFK Göteborg,Sweden,1.0,1982,0.2564,
15.0,Walter Schachner,Cesena,Austria,1.0,1982,0.2564,
15.0,Marco Tardelli,Juventus,Italy,1.0,1982,0.2564,
15.0,Marius Trésor,Bordeaux,France,1.0,1982,0.2564,
1.0,Michel Platini,Juventus,France,110.0,1983,28.2051,
2.0,Kenny Dalglish,Liverpool,Scotland,26.0,1983,6.6667,
3.0,Allan Simonsen,Vejle,Denmark,25.0,1983,6.4103,
4.0,Gordon Strachan,Aberdeen,Scotland,24.0,1983,6.1538,
5.0,Felix Magath,Hamburger SV,West Germany,20.0,1983,5.1282,
6.0,Jean-Marie Pfaff,Bayern Munich,Belgium,15.0,1983,3.8462,
6.0,Rinat Dasayev,Spartak Moscow,Soviet Union,15.0,1983,3.8462,
8.0,Karl-Heinz Rummenigge,Bayern Munich,West Germany,14.0,1983,3.5897,
8.0,Jesper Olsen,Ajax,Denmark,14.0,1983,3.5897,
10.0,Bryan Robson,Manchester United,England,13.0,1983,3.3333,
11.0,Fernando Gomes,Porto,Portugal,10.0,1983,2.5641,
11.0,Bernd Schuster,Barcelona,West Germany,10.0,1983,2.5641,
11.0,Franky Vercauteren,Anderlecht,Belgium,10.0,1983,2.5641,
11.0,Alain Giresse,Bordeaux,France,10.0,1983,2.5641,
15.0,Safet Sušić,Paris Saint-Germain,Yugoslavia,8.0,1983,2.0513,
15.0,Ian Rush,Liverpool,Wales,8.0,1983,2.0513,
17.0,Morten Olsen,Anderlecht,Denmark,6.0,1983,1.5385,
18.0,Norman Whiteside,Manchester United,Northern Ireland,5.0,1983,1.2821,
19.0,Bruno Conti,Roma,Italy,4.0,1983,1.0256,
19.0,Eric Gerets,Milan,Belgium,4.0,1983,1.0256,
19.0,Erwin Vandenbergh,Anderlecht,Belgium,4.0,1983,1.0256,
19.0,Michael Laudrup,Lazio,Denmark,4.0,1983,1.0256,
23.0,Liam Brady,Sampdoria,Republic of Ireland,3.0,1983,0.7692,
23.0,Antonio Cabrini,Juventus,Italy,3.0,1983,0.7692,
23.0,Carlos Manuel,Benfica,Portugal,3.0,1983,0.7692,
23.0,Vasilis Hatzipanagis,Iraklis,Greece,3.0,1983,0.7692,
23.0,Glenn Hysén,IFK Göteborg,Sweden,3.0,1983,0.7692,
23.0,Paolo Rossi,Juventus,Italy,3.0,1983,0.7692,
23.0,Costică Ștefănescu,Universitatea Craiova,Romania,3.0,1983,0.7692,
30.0,Zbigniew Boniek,Juventus,Poland,2.0,1983,0.5128,
30.0,Fedor Cherenkov,Spartak Moscow,Soviet Union,2.0,1983,0.5128,
30.0,Ruud Gullit,Feyenoord,Netherlands,2.0,1983,0.5128,
33.0,Søren Lerby,Bayern Munich,Denmark,1.0,1983,0.2564,
33.0,Stoycho Mladenov,CSKA Sofia,Bulgaria,1.0,1983,0.2564,
33.0,Tibor Nyilasi,Austria Wien,Hungary,1.0,1983,0.2564,
33.0,Rudi Völler,Werder Bremen,West Germany,1.0,1983,0.2564,
1.0,Michel Platini,Juventus,France,128.0,1984,32.8205,
2.0,Jean Tigana,Bordeaux,France,57.0,1984,14.6154,
3.0,Preben Elkjær,Hellas Verona,Denmark,48.0,1984,12.3077,
4.0,Ian Rush,Liverpool,Wales,44.0,1984,11.2821,
5.0,Fernando Chalana,Bordeaux,Portugal,18.0,1984,4.6154,
6.0,Graeme Souness,Sampdoria,Scotland,16.0,1984,4.1026,
7.0,Harald Schumacher,1. FC Köln,West Germany,12.0,1984,3.0769,
8.0,Karl-Heinz Rummenigge,Internazionale,West Germany,10.0,1984,2.5641,
9.0,Alain Giresse,Bordeaux,France,9.0,1984,2.3077,
10.0,Bryan Robson,Manchester United,England,7.0,1984,1.7949,
11.0,Bernd Schuster,Barcelona,West Germany,6.0,1984,1.5385,
12.0,Enzo Scifo,Anderlecht,Belgium,5.0,1984,1.2821,
12.0,Maxime Bossis,Nantes,France,5.0,1984,1.2821,
14.0,Klaus Allofs,1. FC Köln,West Germany,3.0,1984,0.7692,
14.0,Antonio Cabrini,Juventus,Italy,3.0,1984,0.7692,
14.0,Hans-Peter Briegel,Hellas Verona,West Germany,3.0,1984,0.7692,
14.0,Rui Jordão,Sporting CP,Portugal,3.0,1984,0.7692,
18.0,Paul McStay,Celtic,Scotland,2.0,1984,0.5128,
18.0,Jesper Olsen,Manchester United,Denmark,2.0,1984,0.5128,
18.0,Morten Olsen,Anderlecht,Denmark,2.0,1984,0.5128,
18.0,Gordon Strachan,Manchester United,Scotland,2.0,1984,0.5128,
22.0,Rinat Dasayev,Spartak Moscow,Soviet Union,1.0,1984,0.2564,
22.0,Mark Hateley,Milan,England,1.0,1984,0.2564,
22.0,Silviu Lung,Universitatea Craiova,Romania,1.0,1984,0.2564,
22.0,Antonio Maceda,Sporting Gijón,Spain,1.0,1984,0.2564,
22.0,Torbjörn Nilsson,IFK Göteborg,Sweden,1.0,1984,0.2564,
1.0,Michel Platini,Juventus,France,127.0,1985,32.5641,
2.0,Preben Elkjær,Hellas Verona,Denmark,71.0,1985,18.2051,
3.0,Bernd Schuster,Barcelona,West Germany,46.0,1985,11.7949,
4.0,Michael Laudrup,Juventus,Denmark,14.0,1985,3.5897,
5.0,Karl-Heinz Rummenigge,Internazionale,West Germany,13.0,1985,3.3333,
6.0,Zbigniew Boniek,Roma,Poland,12.0,1985,3.0769,
7.0,Oleh Protasov,Dnepr Dnepropetrovsk,Soviet Union,10.0,1985,2.5641,
8.0,Hans-Peter Briegel,Hellas Verona,West Germany,9.0,1985,2.3077,
9.0,Bryan Robson,Manchester United,England,8.0,1985,2.0513,
9.0,Rinat Dasayev,Spartak Moscow,Soviet Union,8.0,1985,2.0513,
11.0,Rudi Völler,Werder Bremen,West Germany,7.0,1985,1.7949,
12.0,Luis Fernández,Paris Saint-Germain,France,6.0,1985,1.5385,
12.0,Søren Lerby,Bayern Munich,Denmark,6.0,1985,1.5385,
14.0,Rafael Gordillo,Real Madrid,Spain,5.0,1985,1.2821,
14.0,Ian Rush,Liverpool,Wales,5.0,1985,1.2821,
16.0,Emilio Butragueño,Real Madrid,Spain,4.0,1985,1.0256,
16.0,Fernando Gomes,Porto,Portugal,4.0,1985,1.0256,
18.0,Harald Schumacher,1. FC Köln,West Germany,3.0,1985,0.7692,
18.0,John Sivebæk,Vejle,Denmark,3.0,1985,0.7692,
18.0,Neville Southall,Everton,Wales,3.0,1985,0.7692,
21.0,Lajos Détári,Budapest Honvéd,Hungary,2.0,1985,0.5128,
21.0,Alain Giresse,Bordeaux,France,2.0,1985,0.5128,
21.0,Vahid Halilhodžić,Nantes,Yugoslavia,2.0,1985,0.5128,
21.0,Tibor Nyilasi,Austria Wien,Hungary,2.0,1985,0.5128,
21.0,Peter Reid,Everton,England,2.0,1985,0.5128,
21.0,Peter Shilton,Southampton,England,2.0,1985,0.5128,
21.0,Graeme Souness,Sampdoria,Scotland,2.0,1985,0.5128,
21.0,Pat Jennings,Tottenham Hotspur,Northern Ireland,2.0,1985,0.5128,
29.0,Steve Archibald,Barcelona,Scotland,1.0,1985,0.2564,
29.0,Jan Ceulemans,Club Brugge,Belgium,1.0,1985,0.2564,
29.0,Anatoliy Demyanenko,Dinamo Kyiv,Soviet Union,1.0,1985,0.2564,
29.0,Georgi Dimitrov,CSKA Sofia,Bulgaria,1.0,1985,0.2564,
29.0,Gheorghe Hagi,Sportul Studențesc,Romania,1.0,1985,0.2564,
29.0,Mark Hateley,Milan,England,1.0,1985,0.2564,
29.0,Herbert Prohaska,Austria Wien,Austria,1.0,1985,0.2564,
29.0,Gary Stevens,Everton,England,1.0,1985,0.2564,
29.0,Andreas Thom,Dynamo Berlin,East Germany,1.0,1985,0.2564,
29.0,Ladislav Vízek,Dukla Prague,Czechoslovakia,1.0,1985,0.2564,
1.0,Igor Belanov,Dynamo Kyiv,Soviet Union,84.0,1986,21.5385,
2.0,Gary Lineker,Everton~~~Barcelona,England,62.0,1986,15.8974,
3.0,Emilio Butragueño,Real Madrid,Spain,59.0,1986,15.1282,
4.0,Manuel Amoros,Monaco,France,22.0,1986,5.641,
4.0,Preben Elkjær,Hellas Verona,Denmark,22.0,1986,5.641,
6.0,Ian Rush,Liverpool,Wales,20.0,1986,5.1282,
6.0,Oleksandr Zavarov,Dynamo Kyiv,Soviet Union,20.0,1986,5.1282,
8.0,Helmut Duckadam,Steaua București,Romania,10.0,1986,2.5641,
8.0,Marco van Basten,Ajax,Netherlands,10.0,1986,2.5641,
10.0,Alessandro Altobelli,Internazionale,Italy,9.0,1986,2.3077,
11.0,Jean-Marie Pfaff,Bayern Munich,Belgium,8.0,1986,2.0513,
11.0,Michel Platini,Juventus,France,8.0,1986,2.0513,
13.0,Jan Ceulemans,Club Brugge,Belgium,7.0,1986,1.7949,
13.0,Søren Lerby,Monaco,Denmark,7.0,1986,1.7949,
15.0,Morten Olsen,Anderlecht~~~1. FC Köln,Denmark,6.0,1986,1.5385,
16.0,Rinat Dasayev,Spartak Moscow,Soviet Union,5.0,1986,1.2821,
17.0,Luis Fernández,Paris Saint-Germain~~~RC Paris,France,4.0,1986,1.0256,
17.0,Paulo Futre,Porto,Portugal,4.0,1986,1.0256,
17.0,Ruud Gullit,PSV Eindhoven,Netherlands,4.0,1986,1.0256,
17.0,Harald Schumacher,1. FC Köln,West Germany,4.0,1986,1.0256,
21.0,Kenny Dalglish,Liverpool,Scotland,3.0,1986,0.7692,
21.0,Jean Tigana,Bordeaux,France,3.0,1986,0.7692,
21.0,Pavlo Yakovenko,Dynamo Kyiv,Soviet Union,3.0,1986,0.7692,
24.0,Karlheinz Förster,VfB Stuttgart~~~Marseille,West Germany,2.0,1986,0.5128,
24.0,Lothar Matthäus,Bayern Munich,West Germany,2.0,1986,0.5128,
26.0,Michael Laudrup,Juventus,Denmark,1.0,1986,0.2564,
26.0,Rudi Völler,Werder Bremen,West Germany,1.0,1986,0.2564,
1.0,Ruud Gullit,Milan,Netherlands,106.0,1987,26.1728,
2.0,Paulo Futre,Porto~~~Atlético Madrid,Portugal,91.0,1987,22.4691,
3.0,Emilio Butragueño,Real Madrid,Spain,61.0,1987,15.0617,
4.0,Míchel,Real Madrid,Spain,29.0,1987,7.1605,
5.0,Gary Lineker,Barcelona,England,13.0,1987,3.2099,
6.0,John Barnes,Liverpool,England,10.0,1987,2.4691,
6.0,Marco van Basten,Milan,Netherlands,10.0,1987,2.4691,
8.0,Gianluca Vialli,Sampdoria,Italy,9.0,1987,2.2222,
9.0,Bryan Robson,Manchester United,England,7.0,1987,1.7284,
10.0,Klaus Allofs,Marseille,West Germany,6.0,1987,1.4815,
10.0,Glenn Hysén,Fiorentina,Sweden,6.0,1987,1.4815,
12.0,Manuel Amoros,Monaco,France,5.0,1987,1.2346,
12.0,Lothar Matthäus,Bayern Munich,West Germany,5.0,1987,1.2346,
14.0,Mark Hateley,Monaco,England,4.0,1987,0.9877,
14.0,Toni Polster,Torino,Austria,4.0,1987,0.9877,
14.0,Ian Rush,Juventus,Wales,4.0,1987,0.9877,
17.0,Pierre Littbarski,1. FC Köln,West Germany,3.0,1987,0.7407,
17.0,Paul McGrath,Manchester United,Republic of Ireland,3.0,1987,0.7407,
17.0,Jean-Marie Pfaff,Bayern Munich,Belgium,3.0,1987,0.7407,
17.0,Oleksandr Zavarov,Dynamo Kyiv,Soviet Union,3.0,1987,0.7407,
21.0,Peter Beardsley,Liverpool,England,2.0,1987,0.4938,
21.0,Józef Młynarczyk,Porto,Poland,2.0,1987,0.4938,
21.0,Rinat Dasayev,Spartak Moscow,Soviet Union,2.0,1987,0.4938,
21.0,Preben Elkjær,Hellas Verona,Denmark,2.0,1987,0.4938,
21.0,Gheorghe Hagi,Steaua București,Romania,2.0,1987,0.4938,
21.0,Heinz Hermann,Neuchâtel Xamax,Switzerland,2.0,1987,0.4938,
21.0,Ally McCoist,Rangers,Scotland,2.0,1987,0.4938,
21.0,Rodion Cămătaru,Dinamo București,Romania,2.0,1987,0.4938,
21.0,Peter Shilton,Derby County,England,2.0,1987,0.4938,
30.0,Alessandro Altobelli,Internazionale,Italy,1.0,1987,0.2469,
30.0,Glenn Hoddle,Monaco,England,1.0,1987,0.2469,
30.0,Sokol Kushta,Flamurtari,Albania,1.0,1987,0.2469,
30.0,Dimitris Saravakos,Panathinaikos,Greece,1.0,1987,0.2469,
30.0,Rudi Völler,Roma,West Germany,1.0,1987,0.2469,
1.0,Marco van Basten,Milan,Netherlands,129.0,1988,31.8519,
2.0,Ruud Gullit,Milan,Netherlands,88.0,1988,21.7284,
3.0,Frank Rijkaard,Milan,Netherlands,45.0,1988,11.1111,
4.0,Oleksiy Mykhaylychenko,Dynamo Kyiv,Soviet Union,41.0,1988,10.1235,
5.0,Ronald Koeman,PSV Eindhoven,Netherlands,39.0,1988,9.6296,
6.0,Lothar Matthäus,Internazionale,West Germany,10.0,1988,2.4691,
7.0,Gianluca Vialli,Sampdoria,Italy,7.0,1988,1.7284,
8.0,Franco Baresi,Milan,Italy,5.0,1988,1.2346,
8.0,Jürgen Klinsmann,VfB Stuttgart,West Germany,5.0,1988,1.2346,
8.0,Oleksandr Zavarov,Juventus,Soviet Union,5.0,1988,1.2346,
11.0,Tanju Çolak,Galatasaray,Turkey,4.0,1988,0.9877,
11.0,Oleh Kuznetsov,Dynamo Kyiv,Soviet Union,4.0,1988,0.9877,
13.0,Rinat Dasayev,Sevilla,Soviet Union,3.0,1988,0.7407,
13.0,Anatoliy Demyanenko,Dynamo Kyiv,Soviet Union,3.0,1988,0.7407,
13.0,Glenn Hysén,Fiorentina,Sweden,3.0,1988,0.7407,
13.0,Míchel,Real Madrid,Spain,3.0,1988,0.7407,
17.0,Flemming Povlsen,1. FC Köln,Denmark,2.0,1988,0.4938,
17.0,Michel Preud'homme,Mechelen,Belgium,2.0,1988,0.4938,
17.0,Walter Zenga,Internazionale,Italy,2.0,1988,0.4938,
20.0,Gheorghe Hagi,Steaua București,Romania,1.0,1988,0.2469,
20.0,Roberto Mancini,Sampdoria,Italy,1.0,1988,0.2469,
20.0,Dejan Savićević,Red Star Belgrade,Yugoslavia,1.0,1988,0.2469,
20.0,Neville Southall,Everton,Wales,1.0,1988,0.2469,
20.0,Dragan Stojković,Red Star Belgrade,Yugoslavia,1.0,1988,0.2469,
1.0,Marco van Basten,Milan,Netherlands,119.0,1989,29.3827,
2.0,Franco Baresi,Milan,Italy,80.0,1989,19.7531,
3.0,Frank Rijkaard,Milan,Netherlands,43.0,1989,10.6173,
4.0,Lothar Matthäus,Internazionale,West Germany,24.0,1989,5.9259,
5.0,Peter Shilton,Derby County,England,22.0,1989,5.4321,
6.0,Dragan Stojković,Red Star Belgrade,Yugoslavia,19.0,1989,4.6914,
7.0,Ruud Gullit,Milan,Netherlands,16.0,1989,3.9506,
8.0,Gheorghe Hagi,Steaua București,Romania,11.0,1989,2.716,
8.0,Jürgen Klinsmann,Internazionale,West Germany,11.0,1989,2.716,
10.0,Jean-Pierre Papin,Marseille,France,10.0,1989,2.4691,
10.0,Michel Preud'homme,Mechelen,Belgium,10.0,1989,2.4691,
12.0,Oleksiy Mykhaylychenko,Dynamo Kyiv,Soviet Union,6.0,1989,1.4815,
13.0,Míchel,Real Madrid,Spain,5.0,1989,1.2346,
14.0,Andreas Brehme,Internazionale,West Germany,3.0,1989,0.7407,
14.0,Paulo Futre,Atlético Madrid,Portugal,3.0,1989,0.7407,
14.0,Karl-Heinz Riedle,Werder Bremen,West Germany,3.0,1989,0.7407,
17.0,John Barnes,Liverpool,England,2.0,1989,0.4938,
17.0,Packie Bonner,Celtic,Republic of Ireland,2.0,1989,0.4938,
17.0,Glenn Hysén,Liverpool,Sweden,2.0,1989,0.4938,
17.0,Oleh Kuznetsov,Dynamo Kyiv,Soviet Union,2.0,1989,0.4938,
17.0,Andreas Möller,Borussia Dortmund,West Germany,2.0,1989,0.4938,
17.0,Julio Salinas,Barcelona,Spain,2.0,1989,0.4938,
23.0,Thomas Häßler,1. FC Köln,West Germany,1.0,1989,0.2469,
23.0,Ronald Koeman,Barcelona,Netherlands,1.0,1989,0.2469,
23.0,Robby Langers,Nice,Luxembourg,1.0,1989,0.2469,
23.0,Gary Lineker,Tottenham Hotspur,England,1.0,1989,0.2469,
23.0,Paolo Maldini,Milan,Italy,1.0,1989,0.2469,
23.0,Theo Snelders,Aberdeen,Netherlands,1.0,1989,0.2469,
23.0,Gianluca Vialli,Sampdoria,Italy,1.0,1989,0.2469,
23.0,Oleksandr Zavarov,Juventus,Soviet Union,1.0,1989,0.2469,
1.0,Lothar Matthäus,Internazionale,Germany,137.0,1990,31.4943,
2.0,Salvatore Schillaci,Juventus,Italy,84.0,1990,19.3103,
3.0,Andreas Brehme,Internazionale,Germany,68.0,1990,15.6322,
4.0,Paul Gascoigne,Tottenham Hotspur,England,43.0,1990,9.8851,
5.0,Franco Baresi,Milan,Italy,37.0,1990,8.5057,
6.0,Enzo Scifo,Auxerre,Belgium,12.0,1990,2.7586,
6.0,Jürgen Klinsmann,Internazionale,Germany,12.0,1990,2.7586,
8.0,Roberto Baggio,Fiorentina~~~Juventus,Italy,8.0,1990,1.8391,
9.0,Frank Rijkaard,Milan,Netherlands,7.0,1990,1.6092,
10.0,Guido Buchwald,VfB Stuttgart,Germany,6.0,1990,1.3793,
11.0,Jean-Pierre Papin,Marseille,France,3.0,1990,0.6897,
12.0,Rafael Martín Vázquez,Real Madrid~~~Torino,Spain,2.0,1990,0.4598,
12.0,Paul McGrath,Aston Villa,Republic of Ireland,2.0,1990,0.4598,
12.0,Robert Prosinečki,Red Star Belgrade,Yugoslavia,2.0,1990,0.4598,
12.0,Des Walker,Nottingham Forest,England,2.0,1990,0.4598,
12.0,Walter Zenga,Internazionale,Italy,2.0,1990,0.4598,
12.0,Dragan Stojković,Red Star Belgrade~~~Marseille,Yugoslavia,2.0,1990,0.4598,
18.0,John Barnes,Liverpool,England,1.0,1990,0.2299,
18.0,Michael Laudrup,Barcelona,Denmark,1.0,1990,0.2299,
18.0,Gary Lineker,Tottenham Hotspur,England,1.0,1990,0.2299,
18.0,David Platt,Aston Villa,England,1.0,1990,0.2299,
18.0,Rudi Völler,Roma,Germany,1.0,1990,0.2299,
18.0,Chris Waddle,Marseille,England,1.0,1990,0.2299,
1.0,Jean-Pierre Papin,Marseille,France,141.0,1991,32.4138,
2.0,Dejan Savićević,Red Star Belgrade,Yugoslavia,42.0,1991,9.6552,
2.0,Darko Pančev,Red Star Belgrade,Yugoslavia,42.0,1991,9.6552,
2.0,Lothar Matthäus,Internazionale,Germany,42.0,1991,9.6552,
5.0,Robert Prosinečki,Red Star Belgrade~~~Real Madrid,Yugoslavia,34.0,1991,7.8161,
6.0,Gary Lineker,Tottenham Hotspur,England,33.0,1991,7.5862,
7.0,Gianluca Vialli,Sampdoria,Italy,18.0,1991,4.1379,
8.0,Miodrag Belodedici,Red Star Belgrade,Romania,15.0,1991,3.4483,
9.0,Mark Hughes,Manchester United,Wales,12.0,1991,2.7586,
10.0,Chris Waddle,Marseille,England,11.0,1991,2.5287,
11.0,Michael Laudrup,Barcelona,Denmark,7.0,1991,1.6092,
12.0,Rudi Völler,Roma,Germany,5.0,1991,1.1494,
13.0,Txiki Begiristain,Barcelona,Spain,3.0,1991,0.6897,
13.0,Stéphane Chapuisat,Borussia Dortmund,Switzerland,3.0,1991,0.6897,
13.0,Bruno Martini,Auxerre,France,3.0,1991,0.6897,
13.0,Paul McGrath,Aston Villa,Republic of Ireland,3.0,1991,0.6897,
13.0,Dean Saunders,Derby County~~~Liverpool,Wales,3.0,1991,0.6897,
13.0,Hristo Stoichkov,Barcelona,Bulgaria,3.0,1991,0.6897,
19.0,Roberto Mancini,Sampdoria,Italy,2.0,1991,0.4598,
19.0,Marco van Basten,Milan,Netherlands,2.0,1991,0.4598,
21.0,Guido Buchwald,VfB Stuttgart,Germany,1.0,1991,0.2299,
21.0,Thomas Doll,Lazio,Germany,1.0,1991,0.2299,
21.0,Stefan Effenberg,Bayern Munich,Germany,1.0,1991,0.2299,
21.0,Ruud Gullit,Milan,Netherlands,1.0,1991,0.2299,
21.0,Gheorghe Hagi,Real Madrid,Romania,1.0,1991,0.2299,
21.0,Oleksiy Mykhaylychenko,Rangers,Soviet Union,1.0,1991,0.2299,
21.0,Gary Pallister,Manchester United,England,1.0,1991,0.2299,
21.0,Dimitris Saravakos,Panathinaikos,Greece,1.0,1991,0.2299,
21.0,Gianluca Pagliuca,Sampdoria,Italy,1.0,1991,0.2299,
21.0,Guy Hellers,Standard Liège,Luxembourg,1.0,1991,0.2299,
21.0,Laurent Blanc,Napoli,France,1.0,1991,0.2299,
1.0,Marco van Basten,Milan,Netherlands,98.0,1992,22.5287,
2.0,Hristo Stoichkov,Barcelona,Bulgaria,80.0,1992,18.3908,
3.0,Dennis Bergkamp,Ajax,Netherlands,53.0,1992,12.1839,
4.0,Thomas Häßler,Roma,Germany,42.0,1992,9.6552,
5.0,Peter Schmeichel,Manchester United,Denmark,41.0,1992,9.4253,
6.0,Brian Laudrup,Fiorentina,Denmark,32.0,1992,7.3563,
7.0,Michael Laudrup,Barcelona,Denmark,22.0,1992,5.0575,
8.0,Ronald Koeman,Barcelona,Netherlands,14.0,1992,3.2184,
9.0,Stéphane Chapuisat,Borussia Dortmund,Switzerland,10.0,1992,2.2989,
10.0,Frank Rijkaard,Milan,Netherlands,8.0,1992,1.8391,
10.0,Enzo Scifo,Torino,Belgium,8.0,1992,1.8391,
12.0,Flemming Povlsen,Borussia Dortmund,Denmark,6.0,1992,1.3793,
13.0,Henrik Larsen,Pisa,Denmark,4.0,1992,0.9195,
14.0,John Jensen,Arsenal,Denmark,3.0,1992,0.6897,
14.0,Paolo Maldini,Milan,Italy,3.0,1992,0.6897,
16.0,Henrik Andersen,1. FC Köln,Denmark,2.0,1992,0.4598,
16.0,David Platt,Juventus,England,2.0,1992,0.4598,
16.0,Tomas Brolin,Parma,Sweden,2.0,1992,0.4598,
16.0,Jean-Pierre Papin,Milan,France,2.0,1992,0.4598,
20.0,Franco Baresi,Milan,Italy,1.0,1992,0.2299,
20.0,Rune Bratseth,Werder Bremen,Norway,1.0,1992,0.2299,
20.0,Andreas Herzog,Werder Bremen,Austria,1.0,1992,0.2299,
1.0,Roberto Baggio,Juventus,Italy,142.0,1993,31.5556,
2.0,Dennis Bergkamp,Internazionale,Netherlands,83.0,1993,18.4444,
3.0,Eric Cantona,Manchester United,France,34.0,1993,7.5556,
4.0,Alen Bokšić,Lazio,Croatia,29.0,1993,6.4444,
5.0,Michael Laudrup,Barcelona,Denmark,27.0,1993,6.0,
6.0,Franco Baresi,Milan,Italy,24.0,1993,5.3333,
7.0,Paolo Maldini,Milan,Italy,19.0,1993,4.2222,
8.0,Emil Kostadinov,Porto,Bulgaria,11.0,1993,2.4444,
9.0,Stéphane Chapuisat,Borussia Dortmund,Switzerland,9.0,1993,2.0,
9.0,Ryan Giggs,Manchester United,Wales,9.0,1993,2.0,
11.0,Andreas Möller,Juventus,Germany,7.0,1993,1.5556,
12.0,Ruud Gullit,Sampdoria,Netherlands,6.0,1993,1.3333,
12.0,Peter Schmeichel,Manchester United,Denmark,6.0,1993,1.3333,
12.0,Hristo Stoichkov,Barcelona,Bulgaria,6.0,1993,1.3333,
15.0,Basile Boli,Marseille,France,5.0,1993,1.1111,
15.0,Rune Bratseth,Werder Bremen,Norway,5.0,1993,1.1111,
17.0,Enzo Scifo,Monaco,Belgium,4.0,1993,0.8889,
18.0,Andreas Herzog,Werder Bremen,Austria,3.0,1993,0.6667,
18.0,Ronald Koeman,Barcelona,Netherlands,3.0,1993,0.6667,
18.0,Jari Litmanen,Ajax,Finland,3.0,1993,0.6667,
21.0,Dino Baggio,Juventus,Italy,2.0,1993,0.4444,
21.0,Sergei Kiriakov,Karlsruher SC,Russia,2.0,1993,0.4444,
21.0,David Platt,Sampdoria,England,2.0,1993,0.4444,
21.0,Franck Sauzée,Atalanta,France,2.0,1993,0.4444,
21.0,Giuseppe Signori,Lazio,Italy,2.0,1993,0.4444,
26.0,Tomas Brolin,Parma,Sweden,1.0,1993,0.2222,
26.0,Martin Dahlin,Borussia Mönchengladbach,Sweden,1.0,1993,0.2222,
26.0,Georges Grün,Parma,Belgium,1.0,1993,0.2222,
26.0,Stelios Manolas,AEK Athens,Greece,1.0,1993,0.2222,
26.0,Paul McGrath,Aston Villa,Republic of Ireland,1.0,1993,0.2222,
1.0,Hristo Stoichkov,Barcelona,Bulgaria,210.0,1994,28.5714,
2.0,Roberto Baggio,Juventus,Italy,136.0,1994,18.5034,
3.0,Paolo Maldini,Milan,Italy,109.0,1994,14.8299,
4.0,Gheorghe Hagi,Barcelona,Romania,68.0,1994,9.2517,
4.0,Tomas Brolin,Parma,Sweden,68.0,1994,9.2517,
6.0,Jürgen Klinsmann,Tottenham Hotspur,Germany,43.0,1994,5.8503,
7.0,Thomas Ravelli,IFK Göteborg,Sweden,21.0,1994,2.8571,
8.0,Jari Litmanen,Ajax,Finland,12.0,1994,1.6327,
9.0,Marcel Desailly,Milan,France,8.0,1994,1.0884,
9.0,Dejan Savićević,Milan,FR Yugoslavia,8.0,1994,1.0884,
11.0,Franco Baresi,Milan,Italy,7.0,1994,0.9524,
11.0,Michel Preud'homme,Benfica,Belgium,7.0,1994,0.9524,
